proxyWallet,asset,conditionId,size,avgPrice,initialValue,currentValue,cashPnl,percentPnl,totalBought,realizedPnl,percentRealizedPnl,curPrice,redeemable,mergeable,title,slug,icon,eventId,eventSlug,outcome,outcomeIndex,oppositeOutcome,oppositeAsset,endDate,negativeRisk
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,93649474745035786731233919003082633017639813911207879453624389467235918905276,0x6ef34d5c7937cb8a1eb22234ddce8fe3eb1595e1f35c7d4f2101c58f3506e580,154657.43196,0.047717,7379.78868083532,0.0,-7379.7886808353205,-100.0,373337.018853,-1999.699091,-100.0000112251063,0.0,True,False,No change in Fed interest rates after October 2025 meeting?,no-change-in-fed-interest-rates-after-october-2025-meeting,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,27824,fed-decision-in-october,Yes,0,No,20248532312255939043525932145429175719961770380347060601058184144030320732306,2025-10-29,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,92325249719485031139867422012514654102580961954747753469470405147070256604118,0x36db77c539bcc8c7bf0686c1b99f30c5a5eed1f53d3b3a27a071550c81f83701,125592.111646,0.009372,1177.049270346312,1067.532948991,-109.51632135531199,-9.304310712761415,159645.571646,8.828723,-28.650302595083698,0.0085,False,False,Will Mark Kelly win the 2028 Democratic presidential nomination?,will-mark-kelly-win-the-2028-democratic-presidential-nomination-479,https://polymarket-upload.s3.us-east-2.amazonaws.com/Mark_Kelly.png,30829,democratic-presidential-nominee-2028,Yes,0,No,5116999494213083595175041146469973274436003044730013359502912125889113751080,2028-11-07,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,30674798812428880166145494562540271253062183749829279693492436262829588871153,0x72e8c6bc66dd977990df2f414e288bbf891983ef173b8b868809f7cf42a1375a,122464.341034,0.783569,95959.26123967035,102257.72476339,6298.463523719665,6.563684882888437,283253.328296,-14620.3002,-53.92728600936234,0.835,False,False,Will Pope Leo XIV be TIME's Person of the Year for 2025?,will-pope-leo-xiv-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,No,1,Yes,105653102834452620371409325814533961616743949229659860748137091341544163414196,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,11171618905857319805355893398009978356002287408842633593535559412449299952250,0x2053d8515f1b8cbeea4ccdb56e60e89c2617e43a8660d95166b8e71d27865277,114452.762013,0.034361,3932.711355528693,4463.657718507,530.9463629783068,13.500771223189073,115265.304234,378.351347,12.700677315999402,0.039,False,False,Will Marco Rubio win the 2028 US Presidential Election?,will-marco-rubio-win-the-2028-us-presidential-election,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-marco-rubio-win-the-2028-us-presidential-election-snF_pVUw4Ymx.png,31552,presidential-election-winner-2028,Yes,0,No,65892530750232246342273648992064742042382898919201083513241874070914353628268,2028-11-07,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,46636973274856224359382522260551505515268816606383048878799083762554032528487,0xfccc16f3bba1210d40db55ee1b71c741be5b14dc3512aba5dc32de5c6e0c4bde,112042.804846,0.223202,25008.178127236893,108793.56350546601,83785.38537822911,335.03194415820644,129254.006501,8692.452343,277.1040019184998,0.971,False,False,Will Bad Bunny be the top Spotify artist for 2025?,will-bad-bunny-be-the-top-spotify-artist-for-2025-735,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-bad-bunny-be-the-top-spotify-artist-for-2024-568-ZwJ8fYg94JyK.jpg,35754,top-spotify-artist-2025-146,Yes,0,No,100129459037491985965884278116683085803245636520203653534104188875530489967149,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,39843382223032680172636234017143696377311711066819162700626001781924811983436,0x53f82bd52566e30ae3f8131cb92095dd92ecdf2b0204af0edc226ee194e923fe,105497.535655,0.016917,1784.701810675635,0.0,-1784.701810675635,-100.0,385135.566676,9182.564301,-99.99985906235773,0.0,True,False,Fed decreases interest rates by 25 bps after October 2025 meeting?,fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting,https://polymarket-upload.s3.us-east-2.amazonaws.com/jerome+powell+glasses1.png,27824,fed-decision-in-october,No,1,Yes,78970393675220813117457137074949547635027336958817818487077806376171274244367,2025-10-29,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,46160941025877499796568362867533438043871153558065329902577891435045065617210,0xf411ada563d621dd96093bd1754a3a9be2ab0604335b9875ce1011dfde9aab4d,94192.411253,0.020708,1950.536452227124,47.0962056265,-1903.440246600624,-97.5854742128646,94192.411253,0.0,-97.5854742128646,0.0005,False,False,Will Coldplay be the top Spotify artist for 2025?,will-coldplay-be-the-top-spotify-artist-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/top-spotify-artist-2024-zhLoKxCkS05j.png,35754,top-spotify-artist-2025-146,Yes,0,No,53419877793076418550192702760473518933457555737849715325645141978518922884315,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,53115906034966900853102673159401489306775570383120641707116492162494664568640,0x0c4d91aed42846e9b50bb9b5bd2eb1c4160d721ef39529f209bc3c37b17ad601,94192.411253,0.020708,1950.536452227124,47.0962056265,-1903.440246600624,-97.5854742128646,94192.411253,0.0,-97.5854742128646,0.0005,False,False,Will Kendrick Lamar be the top Spotify artist for 2025?,will-kendrick-lamar-be-the-top-spotify-artist-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/top-spotify-artist-2024-zhLoKxCkS05j.png,35754,top-spotify-artist-2025-146,Yes,0,No,103918410820939013056581297001954526182167151224296730681192550984467537533253,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,91408728458487940617920914251319025286505973709008060643377819038986824977635,0x2d41f73f0e31be956ffb2b67b9fde896201cd5e62b2a0e17f03aa752941488eb,94192.411253,0.020708,1950.536452227124,47.0962056265,-1903.440246600624,-97.5854742128646,94192.411253,0.0,-97.5854742128646,0.0005,False,False,Will Ye be the top Spotify artist for 2025?,will-ye-be-the-top-spotify-artist-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/top-spotify-artist-2024-zhLoKxCkS05j.png,35754,top-spotify-artist-2025-146,Yes,0,No,39440042832350077813404871572905218653240067829882018810233950495497980310118,2025-12-31,True
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,4053265010403135722623170267447599397180690994919260235009027300557922933785,0x67c2144216b5c56fdbff6b533b52b1c45be9908d382167078200ec7256375ef2,89083.573156,0.044856,3995.932757485536,2895.21612757,-1100.716629915536,-27.545924736935973,96134.338388,798.594746,-32.859893741097466,0.0325,False,False,Will Benjamin Netanyahu be TIME's Person of the Year for 2025?,will-benjamin-netanyahu-be-times-person-of-the-year-for-2025,https://polymarket-upload.s3.us-east-2.amazonaws.com/time-2024-person-of-the-year-opFCUnLfR7Sv.png,28833,time-2025-person-of-the-year,Yes,0,No,62962145755443637372303788686924623377239207408200061537662223548483752503815,2025-12-31,True
